download,upload,ping,timestamp,bytes_sent,bytes_received
362254771.9121394,23620990.925448906,21.556,2023-09-18T21:17:02.111522Z,30670848,409373932
728067419.1517355,23532646.84722943,28.296,2023-09-19T21:17:02.028337Z,29548544,409373932
129970369.89954573,22633416.690389726,34.175,2023-09-21T21:17:01.483392Z,28590080,167482768
824436175.5368861,24228772.926836222,24.085,2023-09-22T21:17:01.885703Z,30580736,409373932
794761184.0972558,24161600.890365925,38.913,2023-09-23T21:17:01.535678Z,30482432,409373932
380820033.19650143,23436262.028992742,28.113,2023-09-27T21:17:01.769300Z,29368320,409373932
747886282.7809741,23517433.03765752,29.858,2023-09-28T21:17:02.243025Z,29802496,409373932
740891003.7069225,23351368.910657454,29.098,2023-09-29T21:17:01.499220Z,29450240,409373932
770917189.4378936,23732801.235258996,21.941,2023-10-01T21:17:01.926246Z,30965760,409373932
437249277.4584494,24093419.5580238,27.912,2023-10-03T21:17:02.045836Z,30212096,409373932
789191482.295387,24037722.936780453,31.118,2023-10-04T21:17:02.151468Z,30097408,409373932
39636293.65273201,21163221.238633383,26.799,2023-10-06T21:17:02.243737Z,27729920,49636353
462122283.4196401,24961757.545482937,22.532,2023-10-07T21:17:02.004315Z,31358976,409373932
685319017.2883953,24830100.580521278,29.761,2023-10-08T21:17:01.519774Z,31170560,409373932
429499821.4297425,23959399.453617353,22.624,2023-10-09T21:17:01.788318Z,31064064,409373932
513228556.0391624,24978894.869221207,30.181,2023-10-10T21:17:01.582892Z,31457280,409373932
406167775.90967214,23536497.016246315,25.715,2023-10-11T21:17:01.511559Z,29999104,409373932
461649855.26571167,24001393.237403695,20.639,2023-10-12T21:17:02.154088Z,30941184,409373932
403047471.94072485,23567891.699109778,25.221,2023-10-13T21:17:01.393354Z,30441472,409373932
685807459.7244196,24279906.052476075,27.329,2023-10-14T21:17:01.727435Z,30433280,409373932
441496217.52601975,23822116.827213656,22.203,2023-10-15T21:17:01.533192Z,31105024,409373932
459265251.836519,24208251.25875205,16.815,2023-10-16T21:17:01.481180Z,30474240,409373932
466302590.19455034,24047165.836127307,19.24,2023-10-17T21:17:02.016294Z,30171136,409373932
776080633.3989455,24665258.995421603,18.111,2023-10-18T21:17:02.099871Z,30932992,409373932
711434360.196353,25232960.30104298,25.799,2023-10-19T21:17:01.403736Z,31711232,409373932
520172526.79852575,24279098.71266846,17.583,2023-10-20T21:17:01.688813Z,30662656,409373932
815795030.8493577,24182406.414348066,18.136,2023-10-21T21:17:01.820925Z,30277632,409373932
738424682.6937242,24396984.090227764,30.506,2023-10-22T21:17:02.021108Z,30572544,409373932
701709584.5496572,23656533.66070623,28.325,2023-10-23T21:17:01.683675Z,29761536,409373932
714832888.4216886,23477205.4542753,26.586,2023-10-24T21:17:01.728567Z,31080448,409373932
465884296.2740639,22844281.276402704,32.018,2023-10-25T21:17:01.845439Z,29368320,409373932
458337591.6882059,24923200.603396628,41.281,2023-10-26T21:17:02.181432Z,33865728,409373932
756228367.0481402,23273862.65482505,26.357,2023-10-27T21:17:01.547905Z,29425664,409373932
506080797.2368989,24289615.399261437,17.276,2023-10-28T21:17:01.411583Z,30867456,409373932
680151109.3787637,24000738.612430226,30.181,2023-10-29T21:17:02.164284Z,30711808,409373932
498692463.13832134,23548083.035120606,28.495,2023-10-30T21:17:02.156392Z,30031872,409373932
409266934.753381,24637754.006411683,28.953,2023-10-31T21:17:02.086065Z,31064064,409373932
683395409.5714248,23619781.84917822,29.943,2023-11-01T21:17:02.151281Z,29786112,409373932
404519499.53860044,24926855.92693276,30.251,2023-11-02T21:17:02.229579Z,31252480,409373932
278831282.2895998,24039016.2441094,33.345,2023-11-03T21:17:01.568491Z,30212096,349022872
428113947.2034985,23962570.06792287,30.761,2023-11-04T21:17:02.042983Z,30154752,409373932
677877958.9280946,23490364.111644767,28.431,2023-11-05T22:17:02.120858Z,29990912,409373932
461196829.8670253,23947055.842252348,18.805,2023-11-06T22:17:02.080358Z,30220288,409373932
548663019.199438,24511140.789349426,20.608,2023-11-07T22:17:01.727976Z,31088640,409373932
